"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2025","1,067.98","1,067.73","1,069.66","1,067.32","","0.09%"
"04/17/2025","1,067.07","1,061.12","1,068.18","1,058.04","","0.75%"
"04/16/2025","1,059.10","1,069.29","1,069.31","1,054.83","","-1.04%"
"04/15/2025","1,070.26","1,060.95","1,071.18","1,060.27","","0.95%"
"04/14/2025","1,060.22","1,049.59","1,061.83","1,049.59","","1.44%"
"04/11/2025","1,045.20","1,030.63","1,050.10","1,024.47","","1.59%"
"04/10/2025","1,028.86","1,002.38","1,035.39","1,002.38","","3.56%"
"04/09/2025","993.45","1,000.19","1,001.59","982.57","","-0.91%"
"04/08/2025","1,002.60","1,002.58","1,008.51","993.08","","0.11%"
"04/07/2025","1,001.49","1,077.25","1,077.25","996.05","","-7.92%"
"04/04/2025","1,087.59","1,103.43","1,107.34","1,082.60","","-1.38%"
"04/03/2025","1,102.78","1,108.55","1,110.47","1,101.12","","-0.80%"
"04/02/2025","1,111.68","1,110.45","1,113.44","1,107.85","","0.09%"
"04/01/2025","1,110.66","1,102.01","1,114.68","1,102.01","","0.84%"
"03/31/2025","1,101.40","1,119.13","1,119.13","1,100.37","","-1.72%"
"03/28/2025","1,120.72","1,130.43","1,130.43","1,119.49","","-0.87%"
"03/27/2025","1,130.54","1,131.06","1,132.52","1,124.27","","-0.09%"
"03/26/2025","1,131.54","1,130.26","1,135.27","1,130.00","","0.19%"
"03/25/2025","1,129.41","1,136.38","1,139.03","1,128.14","","-0.58%"
"03/24/2025","1,136.01","1,130.51","1,137.72","1,128.20","","0.41%"
"03/21/2025","1,131.38","1,140.39","1,140.63","1,129.74","","-0.82%"
"03/20/2025","1,140.69","1,143.56","1,148.09","1,137.88","","-0.23%"
"03/19/2025","1,143.29","1,145.34","1,146.82","1,140.94","","-0.16%"
"03/18/2025","1,145.17","1,132.34","1,146.42","1,132.34","","1.21%"
"03/17/2025","1,131.44","1,120.80","1,132.68","1,120.80","","1.06%"
"03/14/2025","1,119.61","1,106.21","1,120.21","1,104.60","","1.22%"
"03/13/2025","1,106.07","1,111.74","1,115.64","1,101.37","","-0.46%"
"03/12/2025","1,111.13","1,110.45","1,116.16","1,105.26","","0.18%"
"03/11/2025","1,109.16","1,110.78","1,110.78","1,096.38","","-0.35%"
"03/10/2025","1,113.06","1,127.36","1,128.69","1,110.93","","-1.37%"
"03/07/2025","1,128.55","1,130.53","1,134.52","1,124.34","","-0.24%"
"03/06/2025","1,131.26","1,117.54","1,132.23","1,117.54","","1.41%"
"03/05/2025","1,115.55","1,095.54","1,117.33","1,095.52","","2.06%"
"03/04/2025","1,093.00","1,097.24","1,098.24","1,086.85","","-0.40%"
"03/03/2025","1,097.37","1,091.76","1,101.42","1,091.45","","0.01%"
"02/28/2025","1,097.25","1,121.38","1,121.38","1,095.64","","-2.38%"
"02/27/2025","1,124.03","1,135.35","1,138.37","1,121.93","","-1.00%"
"02/26/2025","1,135.41","1,122.65","1,138.14","1,121.68","","1.16%"
"02/25/2025","1,122.38","1,134.97","1,134.97","1,120.61","","-1.18%"
"02/24/2025","1,135.74","1,146.09","1,146.64","1,135.19","","-1.01%"
"02/21/2025","1,147.30","1,133.98","1,148.90","1,132.72","","1.31%"
"02/20/2025","1,132.45","1,136.38","1,136.67","1,126.57","","-0.39%"
"02/19/2025","1,136.87","1,139.88","1,141.46","1,134.84","","-0.18%"
"02/18/2025","1,138.92","1,130.59","1,140.26","1,129.12","","0.74%"
"02/17/2025","1,130.61","1,126.80","1,137.43","1,125.76","","0.48%"
"02/14/2025","1,125.23","1,115.74","1,126.97","1,112.91","","1.08%"
"02/13/2025","1,113.25","1,111.07","1,124.98","1,110.36","","0.20%"
"02/12/2025","1,111.01","1,104.51","1,112.07","1,103.88","","0.58%"
"02/11/2025","1,104.63","1,108.35","1,112.73","1,102.96","","-0.35%"
"02/10/2025","1,108.46","1,105.82","1,109.31","1,103.14","","0.00%"
"02/07/2025","1,108.48","1,102.76","1,109.87","1,100.05","","0.57%"
"02/06/2025","1,102.25","1,096.53","1,102.97","1,094.72","","0.59%"
"02/05/2025","1,095.79","1,094.94","1,101.25","1,093.08","","0.26%"
"02/04/2025","1,092.93","1,076.00","1,095.79","1,076.00","","1.79%"
"02/03/2025","1,073.72","1,087.51","1,087.51","1,067.44","","-1.80%"
"01/31/2025","1,093.37","1,092.68","1,095.04","1,090.08","","-0.22%"
"01/30/2025","1,095.75","1,090.85","1,095.75","1,090.47","","0.31%"
"01/29/2025","1,092.31","1,087.64","1,092.31","1,087.47","0.00K","0.29%"
"01/28/2025","1,089.13","1,084.79","1,089.13","1,083.37","0.00K","0.15%"
"01/27/2025","1,087.54","1,089.34","1,092.83","1,085.33","0.00K","-0.23%"
"01/24/2025","1,090.02","1,082.66","1,091.62","1,082.34","0.00K","0.80%"
"01/23/2025","1,081.34","1,082.55","1,085.44","1,080.27","0.00K","-0.09%"
"01/22/2025","1,082.34","1,082.83","1,086.44","1,078.03","0.00K","0.11%"
"01/21/2025","1,081.11","1,083.79","1,087.91","1,080.04","0.00K","0.06%"
"01/20/2025","1,080.50","1,070.45","1,084.46","1,070.12","0.00K","0.97%"
"01/17/2025","1,070.12","1,066.03","1,071.80","1,062.82","0.00K","0.32%"
"01/16/2025","1,066.67","1,057.62","1,069.50","1,057.62","0.00K","1.03%"
"01/15/2025","1,055.80","1,054.18","1,057.44","1,050.92","0.00K","0.26%"
"01/14/2025","1,053.05","1,040.66","1,054.64","1,040.47","0.00K","1.34%"
"01/13/2025","1,039.11","1,054.79","1,055.79","1,038.44","","-1.70%"
"01/10/2025","1,057.10","1,067.16","1,069.55","1,055.31","0.00K","-0.88%"
"01/09/2025","1,066.47","1,070.66","1,073.57","1,065.56","0.00K","-0.40%"
"01/08/2025","1,070.79","1,079.14","1,080.63","1,069.54","0.00K","-0.86%"
"01/07/2025","1,080.07","1,081.32","1,086.49","1,077.04","0.00K","0.11%"
"01/06/2025","1,078.89","1,072.79","1,082.08","1,072.07","0.00K","0.53%"
"01/03/2025","1,073.21","1,070.49","1,079.18","1,070.49","0.00K","0.21%"
"01/02/2025","1,071.00","1,075.26","1,076.11","1,066.93","0.00K","-0.51%"
"01/01/2025","1,076.52","1,074.64","1,076.52","1,073.83","0.00K","0.10%"
"12/31/2024","1,075.48","1,076.78","1,078.56","1,073.69","0.00K","-0.27%"
"12/30/2024","1,078.40","1,081.90","1,085.01","1,077.98","0.00K","-0.41%"
"12/27/2024","1,082.87","1,084.22","1,086.68","1,080.17","0.00K","-0.17%"
"12/26/2024","1,084.69","1,085.58","1,086.53","1,083.86","0.00K","-0.11%"
"12/25/2024","1,085.86","1,086.35","1,086.61","1,084.87","0.00K","0.08%"
"12/24/2024","1,084.99","1,082.58","1,087.34","1,081.92","0.00K","0.28%"
"12/23/2024","1,081.95","1,074.03","1,085.46","1,074.03","0.00K","0.90%"
"12/20/2024","1,072.25","1,082.24","1,082.28","1,071.17","0.00K","-0.88%"
"12/19/2024","1,081.76","1,089.08","1,089.61","1,077.76","0.00K","-1.24%"
